temperatura interna,temperatura externa
34.91,30.19
34.7,29.07
34.46,27.39
34.48,26.4
34.38,26.64
34.5,25.14
34.12,25.39
34.25,24.9
34.03,24.51
34.42,23.42
34.31,23.61
34.38,23.44
34.38,23.31
34.46,21.7
34.4,21.72
34.12,21.85
34.48,21.89
34.25,21.63
34.27,20.99
34.29,20.99
34.27,20.73
34.25,20.5
34.38,20.43
34.4,20.32
34.27,20.32
34.18,20.3
34.03,20.3
34.46,20.82
34.25,21.53
33.99,22.43
34.16,23.91
34.35,24.56
34.59,25.48
34.22,26.77
34.53,28.49
34.63,30.14
34.53,31.35
34.98,32.21
35.08,34.22
35.19,33.62
35.02,33.64
35.11,32.27
34.76,32.48
34.98,32.48
34.89,33.37
34.98,31.78
34.72,32.57
34.8,29.3
34.68,27.74
34.76,26.51
34.65,26.34
34.61,26.55
34.55,25.78
34.42,26.02
34.55,25.97
34.61,24.86
34.59,24.45
34.8,24.17
34.53,24.34
34.53,24.02
34.53,24.02
34.35,23.93
34.63,24
34.38,23.68
34.7,23.87
34.5,23.29
34.25,23.33
34.27,22.88
34.61,22.77
34.4,22.77
34.4,23.01
34.44,22.37
34.38,22.06
34.59,22.73
34.31,22.71
34.14,23.35
34.29,24.26
34.46,25.33
34.35,26.34
34.63,27.56
34.61,27.84
34.76,28.75
35,30.38
34.98,31.67
34.93,31.62
34.85,32.29
35.02,32.53
35.15,32.51
34.83,31.13
35.02,32.08
34.74,31.5
34.8,31.04
35.17,30.21
35.04,29.95
34.91,29.18
34.8,29.11
34.87,28.21
35.08,28.23
34.83,27.97
34.57,27.76
34.8,27.69
34.44,27.16
34.33,27.22
34.44,27.22
34.53,26.81
34.63,26.88
34.53,26.47
34.63,26.73
34.74,26.73
34.55,26.45
34.76,25.74
34.61,25.7
34.53,25.16
34.29,24.86
34.31,25.12
34.48,25.01
34.29,24.92
34.22,24.96
34.5,25.05
34.38,24.99
34.25,25.05
34.07,25.2
34.29,25.42
34.48,25.93
34.48,26.06
34.4,26.47
34.4,26.45
34.74,27.46
34.72,28.36
34.85,30.06
34.91,31.35
35.06,32.81
35.38,34.91
35.69,34.27
35.3,33.99
35.32,34.18
35.11,32.98
35.21,33.39
35.36,33.64
35.04,32.76
35.15,32.36
35.38,32.61
35.23,30.81
35.08,29.39
34.91,28.81
34.96,27.39
34.93,27.09
34.89,26.68
34.63,26.45
34.22,26.53
34.53,25.97
34.5,25.5
34.61,25.59
34.78,25.09
34.85,25.07
34.93,24.56
34.4,23.85
34.44,23.38
34.5,23.63
34.44,23.12
34.22,23.29
34.2,23.1
34.33,22.69
34.38,22.62
34.48,22.73
34.38,22.77
34.42,22.28
34.22,22.39
34.35,22.67
34.14,22.62
33.97,23.4
34.18,24.71
34.61,26.1
34.42,27.18
34.53,27.56
34.57,28.17
34.48,29.37
34.72,31.24
34.83,31.75
34.83,33.11
35.34,35.08
35.54,33.47
35.43,34.1
34.98,32.85
35.04,33.54
35.17,32.72
35.08,34.46
35.79,33.79
35.17,32.57
35.13,32.05
35.04,30.62
35.11,29.15
34.93,27.18
34.78,27.39
34.83,26.68
34.74,26.3
34.61,26.3
34.33,25.74
34.22,25.27
34.31,25.29
34.55,24.75
34.38,24.13
34.48,23.98
34.29,23.91
34.31,23.48
34.65,23.35
34.76,23.42
34.63,23.27
34.31,23.01
34.22,22.92
34.38,23.48
34.46,23.35
34.31,22.95
34.68,23.01
34.29,22.54
34.42,22.32
34.14,22.32
34.27,22.82
34.07,23.59
34.25,24.77
34.4,25.65
34.4,26.58
34.44,27.54
34.65,28.9
34.65,30.36
34.53,31.45
34.76,33.34
34.96,34.2
35.32,34.93
35.3,33.82
35.11,34.29
35.26,33.49
34.96,32.89
34.93,31.95
34.68,30.92
34.93,30.57
34.91,31.3
35.02,31.35
34.87,30.31
34.59,28.14
34.78,28.21
35,27.93
34.65,27.97
34.74,28.1
34.89,27.87
34.78,27.74
34.72,27.05
34.48,26.9
34.85,26.92
34.72,26.53
34.74,26.12
34.5,26
34.35,26.23
34.68,26.1
34.33,26.1
34.46,25.72
34.35,25.72
34.38,25.54
34.57,25.24
34.42,25.33
34.22,25.29
34.35,24.77
34.55,24.64
34.2,24.56
34.44,24.64
34.22,25.14
34.55,25.5
34.2,26.04
34.55,26.98
34.83,27.89
34.5,28.36
34.55,29.52
34.7,30.23
34.85,30.98
34.91,32.42
35.08,31.95
34.83,32.12
34.98,32.83
34.93,31.88
35.13,31.86
34.78,32.42
35.21,31.45
35.21,30.29
34.89,32.76
35.06,30.79
34.98,30.01
34.61,28.17
35.02,26.96
34.96,27.56
34.68,27.48
34.72,26.58
34.76,26.6
34.85,26.28
34.59,25.85
34.53,25.35
34.74,25.2
34.53,24.3
34.5,24.71
34.5,24.28
34.46,23.33
34.18,23.55
34.44,22.9
34.4,23.01
34.22,22.79
34.27,22.75
34.42,22.39
34.27,22.32
34.46,21.63
34.46,21.61
34.05,21.76
34.4,21.74
34.2,21.72
34.29,22.19
34.48,23.25
34.48,24.04
34.72,24.88
34.57,26.02
34.57,27.11
34.59,28.23
34.48,29.73
34.74,30.87
34.74,31.93
34.98,33.88
35.08,33.3
35.11,33.28
35.02,33.13
35.15,33.24
35.15,33.34
35.19,33.24
35.08,32.57
35.15,34.03
35.3,32.85
35.21,30.92
34.93,29.86
34.93,28.17
34.93,28.49
34.91,27.24
34.7,27.84
34.65,26.94
34.85,26.75
34.68,25.95
34.61,24.94
34.61,24.41
34.57,24.17
34.57,24.3
34.55,24.49
34.65,24.43
34.18,24.66
34.2,24.04
34.2,24.19
34.46,23.98
34.46,23.78
34.65,23.78
34.14,23.89
34.53,23.31
34.4,22.88
34.31,23.27
34.22,23.14
34.25,22.88
34.38,23.2
34.1,23.68
34.25,24.71
34.31,25.42
34.33,26.58
